epoch,hp_metric,loss,step,val_loss
,-0.26462480425834656,,0,
0,,-0.5490579605102539,49,
0,,-0.3424186408519745,99,
0,,-0.3556598722934723,149,
0,,-0.611462414264679,199,
0,,-0.2652106285095215,249,
0,,-0.5291445851325989,299,
0,,-0.37448328733444214,349,
0,,-0.472503125667572,399,
0,,-0.6237268447875977,449,
0,,-0.22955967485904694,499,
0,,-0.5562743544578552,549,
0,,-0.5016346573829651,599,
0,,-0.3072931170463562,649,
0,,-0.37057432532310486,699,
0,,-0.3793755769729614,749,
0,,-0.5014026761054993,799,
0,,-0.1745133101940155,849,
0,,-0.2527962625026703,899,
0,,-0.3245076835155487,949,
0,,-0.3140850365161896,999,
0,,-0.1595909595489502,1049,
0,,-0.7854304909706116,1099,
0,,-0.41647595167160034,1149,
0,,-0.34373393654823303,1199,
0,,-0.5565493702888489,1249,
0,,-0.5170902013778687,1299,
0,,-0.44641607999801636,1349,
0,,-0.4088623523712158,1399,
0,,-0.6569973826408386,1449,
0,,-0.5598323345184326,1499,
0,,-0.15602321922779083,1549,
0,,-0.6654839515686035,1599,
0,,-0.3293948173522949,1649,
0,,-0.4591710865497589,1699,
0,,-0.5982800126075745,1749,
0,,-0.3794950544834137,1799,
0,,-0.3253801763057709,1849,
0,,-0.349749356508255,1899,
0,,-0.111000657081604,1949,
0,,-0.40238675475120544,1999,
0,,-0.9257470965385437,2049,
0,,-0.3613726794719696,2099,
0,,0.059208668768405914,2149,
0,,-0.43206825852394104,2199,
0,,-0.17383532226085663,2249,
0,,-0.6107745170593262,2299,
0,,-0.46839818358421326,2349,
0,,-0.5299320816993713,2399,
0,,-0.45914125442504883,2449,
0,,-0.594776451587677,2499,
0,,-0.6623858213424683,2549,
0,,-0.4528699815273285,2599,
0,,-0.47812753915786743,2649,
0,,-0.5315818786621094,2699,
0,,-0.20105214416980743,2749,
0,,-0.2887701690196991,2799,
0,,-0.3891744613647461,2849,
0,,-0.43204447627067566,2899,
0,,-0.27406027913093567,2949,
0,,-0.40034863352775574,2999,
0,,-0.4171029329299927,3049,
0,,-0.7872147560119629,3099,
0,,-0.2648816704750061,3149,
0,,-0.17933180928230286,3199,
0,,-0.8173494338989258,3249,
0,,-1.5442874431610107,3299,
0,,-0.3027220368385315,3349,
0,,-0.3126988112926483,3399,
0,,-0.39851054549217224,3449,
0,,-0.40234217047691345,3499,
0,,-0.2777453660964966,3549,
0,,-0.5190441012382507,3599,
0,,-0.6066697835922241,3649,
0,,-0.1916937232017517,3699,
0,,-0.28414079546928406,3749,
0,,-0.34316471219062805,3799,
0,,-0.49801328778266907,3849,
0,,-0.5541548728942871,3899,
0,,-0.5609455704689026,3949,
0,,-0.4892667829990387,3999,
0,,-0.626302182674408,4049,
0,,-0.12444761395454407,4099,
0,,-0.5205317735671997,4149,
0,,-0.3994305729866028,4199,
0,,-0.507304310798645,4249,
0,,-0.41896745562553406,4299,
0,,-0.3795659840106964,4349,
0,,-0.23897850513458252,4399,
0,,-0.8019256591796875,4449,
0,,-0.3344966769218445,4499,
0,,-0.39711102843284607,4549,
0,,-0.6040071845054626,4599,
0,,-0.5733441114425659,4649,
0,,-0.3911411166191101,4699,
0,,-0.35590800642967224,4749,
0,,-0.2912360429763794,4799,
0,,-0.5997388362884521,4849,
0,,-0.7825703620910645,4899,
0,,-0.2931581139564514,4949,
0,,-0.6435335278511047,4999,
0,,-0.6426679491996765,5049,
0,,-0.6408718824386597,5099,
0,,-0.3266356289386749,5149,
0,,-0.48974594473838806,5199,
0,,-0.39229243993759155,5249,
0,,-0.5478709936141968,5299,
0,,-0.36369413137435913,5349,
0,,-0.37355101108551025,5399,
0,,-0.3947703242301941,5449,
0,,-0.4471035599708557,5499,
0,,-0.5835012197494507,5549,
0,,-0.354075163602829,5599,
0,,-0.4475751519203186,5649,
0,,-0.4921780526638031,5699,
0,,-0.5719519257545471,5749,
0,,-0.3990192711353302,5799,
0,,-0.5588862299919128,5849,
0,,0.031138256192207336,5899,
0,,-0.32892701029777527,5949,
0,,-0.4675726592540741,5999,
,-0.2783948481082916,,6000,
0,,,5999,-0.2783948481082916
